utc_time	profile	phase	t_ready_ms	t_content_ms	t_settled_ms	stalls_over_4ms	max_stall_ms	probe_ticks	objects_at_ready	objects_settled	layout_attached	objects_built	chain_tags	information_tiles
2026-08-20T08:05:34Z	whale-8a-2000g-500c	cold	36.18	39.67	91.34	3	9.13	44	916	916	107	809	4	2
2026-08-20T08:05:34Z	whale-8a-2000g-500c	warm	27.48	29.17	79.46	1	7.10	51	916	916	107	809	4	2
2026-08-20T08:05:37Z	whale-8a-2000g-500c	cold	34.77	37.88	88.43	7	9.65	41	918	918	109	809	4	2
2026-08-20T08:05:37Z	whale-8a-2000g-500c	warm	26.88	27.14	128.83	1	5.64	94	914	916	107	809	4	2
2026-08-20T08:05:40Z	whale-8a-2000g-500c	cold	34.61	37.61	89.00	5	10.32	40	917	917	108	809	4	2
2026-08-20T08:05:40Z	whale-8a-2000g-500c	warm	22.22	22.47	124.59	2	5.00	88	913	916	107	809	4	2
2026-08-20T08:05:43Z	whale-8a-2000g-500c	cold	35.96	39.46	91.40	4	8.87	43	916	916	107	809	4	2
2026-08-20T08:05:43Z	whale-8a-2000g-500c	warm	24.45	24.67	126.03	1	5.70	89	915	917	108	809	4	2
2026-08-20T08:05:46Z	whale-8a-2000g-500c	cold	37.00	40.05	91.48	8	8.77	40	916	916	107	809	4	2
2026-08-20T08:05:46Z	whale-8a-2000g-500c	warm	29.80	31.87	82.53	3	7.40	51	916	916	107	809	4	2
2026-08-20T08:05:49Z	whale-8a-2000g-500c	cold	33.99	37.79	88.48	7	9.55	38	916	916	107	809	4	2
2026-08-20T08:05:49Z	whale-8a-2000g-500c	warm	28.06	30.01	80.75	2	5.62	53	916	916	107	809	4	2
2026-08-20T08:05:52Z	whale-8a-2000g-500c	cold	38.09	41.58	92.96	6	7.58	44	917	917	108	809	4	2
2026-08-20T08:05:52Z	whale-8a-2000g-500c	warm	27.71	27.94	130.23	3	6.79	92	911	916	107	809	4	2
2026-08-20T08:05:55Z	whale-8a-2000g-500c	cold	36.16	37.41	139.49	7	8.74	79	914	916	107	809	4	2
2026-08-20T08:05:55Z	whale-8a-2000g-500c	warm	22.44	22.70	124.85	3	6.67	90	913	916	107	809	4	2
2026-08-20T08:05:58Z	whale-8a-2000g-500c	cold	37.65	38.66	140.39	6	8.97	79	914	916	107	809	4	2
2026-08-20T08:05:58Z	whale-8a-2000g-500c	warm	29.91	32.04	83.24	2	5.43	55	916	916	107	809	4	2
2026-08-20T08:06:01Z	whale-8a-2000g-500c	cold	35.02	36.12	139.02	5	10.31	77	914	916	107	809	4	2
2026-08-20T08:06:01Z	whale-8a-2000g-500c	warm	22.03	22.26	122.88	1	6.03	89	915	916	107	809	4	2
2026-08-20T08:06:04Z	whale-8a-2000g-500c	cold	35.18	38.60	89.24	7	9.47	40	916	916	107	809	4	2
2026-08-20T08:06:04Z	whale-8a-2000g-500c	warm	25.13	27.19	77.41	2	6.07	48	916	916	107	809	4	2
2026-08-20T08:06:07Z	whale-8a-2000g-500c	cold	39.01	42.41	92.88	6	9.35	41	917	917	108	809	4	2
2026-08-20T08:06:07Z	whale-8a-2000g-500c	warm	33.15	33.45	135.34	2	8.05	95	914	916	107	809	4	2
2026-08-20T08:06:10Z	whale-8a-2000g-500c	cold	34.23	35.85	137.63	6	10.62	77	914	916	107	809	4	2
2026-08-20T08:06:10Z	whale-8a-2000g-500c	warm	38.17	40.55	91.56	1	6.95	57	916	916	107	809	4	2
2026-08-20T08:07:44Z	whale-8a-2000g-500c	cold	36.18	39.45	90.73	6	8.28	41	916	916	107	809	4	2
2026-08-20T08:07:44Z	whale-8a-2000g-500c	warm	21.38	21.59	124.62	2	6.83	89	913	916	107	809	4	2
