utc_time	profile	phase	t_skeleton_ms	t_ready_ms	t_content_ms	t_first_asset_row_ms	stalls_over_4ms	stalls_over_8ms	max_stall_ms	probe_ticks	objects_total	account_delegates	asset_delegates	loading_asset_delegates	objects_settled	asset_delegates_settled	account_delegates_settled
2026-08-19T16:53:03Z	whale-8a-2000g-500c	cold	179.22	500.75	501.45	550.80	10	-	344.29	129	4284	8	0	0	8563	26	-
2026-08-19T16:53:03Z	whale-8a-2000g-500c	warm	4.23	77.92	78.54	115.66	8	-	28.63	102	4413	8	0	0	8563	26	-
2026-08-19T17:04:03Z	whale-8a-2000g-500c	cold	182.10	500.09	500.78	549.50	10	-	345.03	127	4284	8	0	0	8563	26	-
2026-08-19T17:04:03Z	whale-8a-2000g-500c	warm	14.12	120.36	121.04	159.10	10	-	30.36	115	4284	8	0	0	8563	26	-
2026-08-19T17:04:11Z	whale-8a-2000g-500c	cold	185.64	521.41	522.07	573.43	10	-	350.12	146	4284	8	0	0	8563	26	-
2026-08-19T17:04:11Z	whale-8a-2000g-500c	warm	3.43	75.30	75.88	113.93	6	-	35.56	102	4284	8	0	0	8563	26	-
2026-08-19T17:04:12Z	whale-8a-2000g-500c	cold	188.17	496.28	496.72	542.46	9	-	348.60	139	3344	8	0	0	8297	26	-
2026-08-19T17:04:12Z	whale-8a-2000g-500c	warm	9.88	97.17	97.57	137.37	8	-	36.65	112	3344	8	0	0	8297	26	-
2026-08-19T17:04:18Z	whale-8a-2000g-500c	cold	183.36	505.62	506.28	558.38	10	-	349.86	132	4284	8	0	0	8563	26	-
2026-08-19T17:04:18Z	whale-8a-2000g-500c	warm	3.41	76.36	77.00	116.01	7	-	30.07	103	4413	8	0	0	8563	26	-
2026-08-19T17:04:21Z	whale-8a-2000g-500c	cold	177.33	494.57	494.99	540.71	11	-	335.95	147	3344	8	0	0	8297	26	-
2026-08-19T17:04:21Z	whale-8a-2000g-500c	warm	7.68	95.05	95.49	130.61	8	-	32.35	110	3344	8	0	0	8297	26	-
2026-08-19T17:04:30Z	whale-8a-2000g-500c	cold	191.40	502.51	503.00	563.28	12	-	356.75	125	3344	8	0	0	8297	26	-
2026-08-19T17:04:30Z	whale-8a-2000g-500c	warm	3.43	77.50	77.93	111.36	6	-	39.27	101	3473	8	0	0	8297	26	-
2026-08-19T17:04:39Z	whale-8a-2000g-500c	cold	181.31	498.33	498.80	544.50	10	-	339.92	147	3344	8	0	0	8297	26	-
2026-08-19T17:04:39Z	whale-8a-2000g-500c	warm	14.67	138.80	139.49	186.48	11	-	38.20	127	3344	8	0	0	8297	26	-
2026-08-19T17:04:48Z	whale-8a-2000g-500c	cold	192.04	514.82	515.27	560.59	10	-	357.05	144	3344	8	0	0	8297	26	-
2026-08-19T17:04:48Z	whale-8a-2000g-500c	warm	4.12	92.80	93.31	134.54	9	-	33.07	115	3344	8	0	0	8297	26	-
2026-08-19T17:10:19Z	whale-8a-2000g-500c	cold	176.01	562.13	562.77	610.20	9	-	337.38	191	4220	8	0	0	8491	26	-
2026-08-19T17:10:19Z	whale-8a-2000g-500c	warm	14.62	124.04	124.92	160.60	9	-	43.27	108	4220	8	0	0	8491	26	-
2026-08-19T17:11:48Z	whale-8a-2000g-500c	cold	178.65	517.65	518.25	572.22	10	-	344.32	164	4220	8	0	0	8491	26	-
2026-08-19T17:11:48Z	whale-8a-2000g-500c	warm	3.36	75.76	76.35	115.71	7	-	30.68	122	4220	8	0	0	8491	26	-
2026-08-19T17:11:55Z	whale-8a-2000g-500c	cold	180.30	508.90	509.53	557.04	10	-	340.80	169	4220	8	0	0	8491	26	-
2026-08-19T17:11:55Z	whale-8a-2000g-500c	warm	4.25	93.08	93.80	137.73	9	-	34.79	127	4220	8	0	0	8491	26	-
2026-08-19T17:12:03Z	whale-8a-2000g-500c	cold	179.69	507.88	508.53	556.14	9	-	341.77	164	4220	8	0	0	8491	26	-
